"","Stock","Year","Catch","CPUE"
"1","MTS_Trust",2005,NA,16.9463412344379
"2","MTS_Trust",2006,NA,8.66391619896023
"3","MTS_Trust",2007,NA,3.31867492361622
"4","MTS_Trust",2008,NA,9.62498892816042
"5","MTS_Trust",2009,NA,14.6709838527212
"6","MTS_Trust",2010,NA,18.6053775724777
"7","MTS_Trust",2011,NA,17.6748744883288
"8","MTS_Trust",2012,NA,14.1087045407539
"9","MTS_Trust",2013,NA,16.4971040442766
"10","MTS_Trust",2014,NA,21.6955036927513
"11","MTS_Trust",2015,NA,28.5930588154051
"12","MTS_Trust",2016,NA,17.4803077081341
"13","MTS_Trust",2017,NA,14.7817766632227
"14","MTS_Trust",2018,NA,15.7412952430342
"15","MTS_Trust",2019,NA,25.4780121968822
"16","MTS_Trust",2020,NA,28.1319474748323
"17","MTS_diva",2005,NA,16.9463412344379
"18","MTS_diva",2006,NA,8.66391619896023
"19","MTS_diva",2007,NA,3.31867492361622
"20","MTS_diva",2008,NA,9.62498892816042
"21","MTS_diva",2009,NA,14.6709838527212
"22","MTS_diva",2010,NA,18.6053775724777
"23","MTS_diva",2011,NA,17.6748744883288
"24","MTS_diva",2012,NA,14.1087045407539
"25","MTS_diva",2013,NA,16.4971040442766
"26","MTS_diva",2014,NA,21.6955036927513
"27","MTS_diva",2015,NA,28.5930588154051
"28","MTS_diva",2016,NA,17.4803077081341
"29","MTS_diva",2017,NA,14.7817766632227
"30","MTS_diva",2018,NA,15.7412952430342
"31","MTS_diva",2019,NA,25.4780121968822
"32","MTS_diva",2020,NA,25.8856004581192
"33","MTS_prop",2005,NA,16.9463412344379
"34","MTS_prop",2006,NA,8.66391619896023
"35","MTS_prop",2007,NA,3.31867492361622
"36","MTS_prop",2008,NA,9.62498892816042
"37","MTS_prop",2009,NA,14.6709838527212
"38","MTS_prop",2010,NA,18.6053775724777
"39","MTS_prop",2011,NA,17.6748744883288
"40","MTS_prop",2012,NA,14.1087045407539
"41","MTS_prop",2013,NA,16.4971040442766
"42","MTS_prop",2014,NA,21.6955036927513
"43","MTS_prop",2015,NA,28.5930588154051
"44","MTS_prop",2016,NA,17.4803077081341
"45","MTS_prop",2017,NA,14.7817766632227
"46","MTS_prop",2018,NA,15.7412952430342
"47","MTS_prop",2019,NA,25.4780121968822
"48","MTS_prop",2020,NA,26.6301596935052
"49","MTS_ssa",2005,NA,16.9463412344379
"50","MTS_ssa",2006,NA,8.66391619896023
"51","MTS_ssa",2007,NA,3.31867492361622
"52","MTS_ssa",2008,NA,9.62498892816042
"53","MTS_ssa",2009,NA,14.6709838527212
"54","MTS_ssa",2010,NA,18.6053775724777
"55","MTS_ssa",2011,NA,17.6748744883288
"56","MTS_ssa",2012,NA,14.1087045407539
"57","MTS_ssa",2013,NA,16.4971040442766
"58","MTS_ssa",2014,NA,21.6955036927513
"59","MTS_ssa",2015,NA,28.5930588154051
"60","MTS_ssa",2016,NA,17.4803077081341
"61","MTS_ssa",2017,NA,14.7817766632227
"62","MTS_ssa",2018,NA,15.7412952430342
"63","MTS_ssa",2019,NA,25.4780121968822
"64","MTS_ssa",2020,NA,26.0260125678227
"65","MTS_pred",2005,NA,16.9463412344379
"66","MTS_pred",2006,NA,8.66391619896023
"67","MTS_pred",2007,NA,3.31867492361622
"68","MTS_pred",2008,NA,9.62498892816042
"69","MTS_pred",2009,NA,14.6709838527212
"70","MTS_pred",2010,NA,18.6053775724777
"71","MTS_pred",2011,NA,17.6748744883288
"72","MTS_pred",2012,NA,14.1087045407539
"73","MTS_pred",2013,NA,16.4971040442766
"74","MTS_pred",2014,NA,21.6955036927513
"75","MTS_pred",2015,NA,28.5930588154051
"76","MTS_pred",2016,NA,17.4803077081341
"77","MTS_pred",2017,NA,14.7817766632227
"78","MTS_pred",2018,NA,15.7412952430342
"79","MTS_pred",2019,NA,25.4780121968822
"80","MTS_pred",2020,NA,25.9876908400044
