"","year","BBmsy","Fdat","species"
"1","2005",1.25696268889873,0.70287602558605,"CTC_prop"
"2","2006",1.34119652296816,0.629097861071614,"CTC_prop"
"3","2007",1.32635714280738,0.863000401152072,"CTC_prop"
"4","2008",1.12442915634386,1.24518165832311,"CTC_prop"
"5","2009",0.8040243117116,1.74504227310123,"CTC_prop"
"6","2010",0.630205879750027,1.92410055948748,"CTC_prop"
"7","2011",0.666068575955212,1.5781545565337,"CTC_prop"
"8","2012",0.781266394974197,1.23981802347554,"CTC_prop"
"9","2013",0.879525096202254,1.10842756320712,"CTC_prop"
"10","2014",0.928686007957966,1.16687497185977,"CTC_prop"
"11","2015",0.857190400636929,1.33934156988295,"CTC_prop"
"12","2016",0.759223003766942,1.49448068387069,"CTC_prop"
"13","2017",0.726148989050707,1.48545512154929,"CTC_prop"
"14","2018",0.744670941453205,1.39512446342902,"CTC_prop"
"15","2019",0.766944745158263,1.37394257409676,"CTC_prop"
"16","2020",0.753561097570741,NA,"CTC_prop"
