year,tons
1974,5579.273525
1975,6558.915204
1976,5655.556359
1977,5288.58294
1978,3705.823179
1979,4579.176611
1980,9442.940644
1981,6667.182158
1982,9489.134544
1983,10705.43644
1984,7386.899626
1985,9233.212087
1986,8232.92854
1987,6533.859137
1988,6737.401011
1989,4886.036093
1990,5054.623207
1991,7132.523839
1992,4800.3
1993,4916.4
1994,10490.1
1995,6320.9
1996,4108.3
1997,4718.6
1998,3943.1
1999,3593.8
2000,6503.58227
2001,7657.473772
2002,3298.496526
2003,4250.46917
2004,4464.119358
2005,4156.260071
2006,4602.54854
2007,8096.06679
2008,6329.09107
2009,5764.80201
2010,3468.03477
2011,2437.10319
2012,2752.80606
2013,3223.6204
2014,3400.55914
2015,3489.45026
2016,3093.45287
2017,2563.0749
2018,2403.7354
2019,2421.861894
2020,1561.63668
